nodeId,latitude,longitude
813348627,30.6901,76.8118
3909471537,30.6899,76.8119
9849305114,30.6877,76.8127
9461948329,30.6861,76.8133
3945290493,30.6828,76.815
1436037859,30.6824,76.8152
1436037849,30.6801,76.8075
10088769238,30.6785,76.8083
6329992665,30.6775,76.8087
1432256485,30.6774,76.8087
1432256484,30.6774,76.8085
1432256487,30.6775,76.8085
3942900076,30.6783,76.8081
3942900105,30.6809,76.8067
3942900104,30.6808,76.8065
3942900071,30.6773,76.8073
