source,destination,length
813348627,3909471537,20.525495963590913
813348627,11846102665,372.8995567207196
813348627,5512885435,295.05577461779137
1424618735,3955011682,13.804533448921797
1424618878,11046546543,26.674968633133865
1424618908,1424618948,129.4442363679462
1424618933,1424618946,22.748055865701602
1424618942,1424618961,69.54317079070265
1424618942,1424618948,9.061183298526016
1424618946,1424618962,62.98728584395265
1424618946,1424618958,55.416426981242104
1424618946,1424618933,22.748055865701602
1424618948,1424618942,9.061183298526016
1424618948,1424618958,35.54366703443523
1424618948,1424618908,129.4442363679462
1424618958,1424618946,55.416426981242104
1424618958,1424618948,35.54366703443523
1424618958,1424618965,22.449711235758453
1424618961,6475195004,34.77294297075203
1424618961,1424618942,69.54317079070265
1424618961,1424618968,31.163761499392173
1424618962,1424618946,62.98728584395265
1424618965,1424618973,56.59032736562484
1424618965,1424618958,22.449711235758453
1424618968,1424618961,31.163761499392173
1424618973,1424618965,56.59032736562484
1424618973,1424618987,56.823910012373915
1424618973,4832139039,181.51743265765907
1424618987,1424618973,56.823910012373915
1424618987,1424619003,156.65752983350347
1424618987,1424618999,150.70330241270943
1424618999,1424619011,52.61008309552177
1424618999,1424619001,21.693116918429293
1424618999,1424618987,150.70330241270943
1424619001,1424618999,21.693116918429293
1424619003,1424619013,43.62956824379533
1424619003,1424619011,50.78078707336878
1424619003,1424618987,156.65752983350345
1424619004,1424619013,54.11325774905312
1424619011,1424619033,101.19155676320223
1424619011,1424618999,52.61008309552177
1424619011,1424619003,50.78078707336878
1424619013,1424619004,54.11325774905312
1424619013,1424619024,59.77698443754944
1424619013,1424619003,43.62956824379533
1424619014,1424619039,100.29662682175804
1424619019,1424619024,11.884918050612644
1424619024,1424619013,59.77698443754944
1424619024,1424619019,11.884918050612644
1424619024,1424619033,52.64414445160125
1424619033,1424619011,101.19155676320223
1424619033,1424619024,52.64414445160125
1424619033,1424619041,15.605437620097577
1424619039,1424619049,48.714703774583846
1424619039,1424619045,20.19733695228495
1424619039,1424619014,100.29662682175804
1424619041,1424619055,57.95151113341603
1424619041,1424619033,15.605437620097577
1424619041,1424619045,33.65360861926188
1424619042,1424619055,60.368775806458984
1424619045,1424619140,141.5474464660168
1424619045,1424619039,20.19733695228495
1424619045,1424619041,33.65360861926188
1424619049,1424619039,48.714703774583846
1424619049,1424619060,41.556480099382
1424619049,1424619128,45.512849852109774
1424619049,6243172212,94.01433634043377
1424619055,1424619042,60.368775806458984
1424619055,1424619130,47.67151828035261
1424619055,1424619041,57.95151113341603
1424619060,1424619049,41.556480099382
1424619124,1424619130,34.997723384719656
1424619128,1424619134,79.64802877723149
1424619128,1424619049,45.512849852109774
1424619128,1424619131,36.36061433167939
1424619130,1424619124,34.997723384719656
1424619130,1424619139,75.29492071205692
1424619130,1424619055,47.67151828035261
1424619131,1424619143,80.76606690181198
1424619131,1424619128,36.36061433167939
1424619131,1424619136,39.72022466530531
1424619134,1424619143,38.786673857603766
1424619134,1424619128,79.64802877723149
1424619134,6475079954,6.974810705658802
1424619136,1424619145,58.524885684557404
1424619136,1424619131,39.72022466530531
1424619136,1424619147,43.38553977600342
1424619139,1424619130,75.29492071205692
1424619139,5526899723,1.5744200558731372
1424619140,1424619147,45.883439726808874
1424619140,3832525510,34.38094714409546
1424619140,1424619045,141.5474464660168
1424619143,1424619134,38.786673857603766
1424619143,6475079953,6.715214113875867
1424619143,1424619131,80.76606690181198
1424619145,1424619136,58.524885684557404
1424619147,1424619140,45.883439726808874
1424619147,1424619158,89.03747480588389
1424619147,1424619136,43.38553977600342
1424619158,1424619147,89.03747480588389
1424619158,6475079953,81.21020355204804
1424619158,6243172203,223.00700191403115
1425255313,1425255318,9.845483161601926
1425255313,1425255329,64.48703286458004
1425255318,1425255313,9.845483161601926
1425255318,1425255326,31.675947890239833
1425255326,1425255318,31.675947890239833
1425255326,6332117670,5.422487239376805
1425255326,1425255339,68.43158160443984
1425255329,1425255313,64.48703286458004
1425255338,6332117670,36.48563314917575
1425255338,1425255345,42.13968820926092
1425255338,1425255347,67.19383794812614
1425255339,1425255326,68.43158160443984
1425255341,1425255348,45.130471328696856
1425255345,1425255338,42.13968820926092
1425255345,1425255352,44.20052369233748
1425255345,1425255353,65.26507624710742
1425255347,1425255338,67.19383794812614
1425255348,1425255341,45.130471328696856
1425255348,1425255352,45.52286754206056
1425255348,6332117672,94.12574739457425
1425255350,1425255368,75.58367134966109
1425255350,1425255359,35.27519863916048
1425255352,1425255345,44.20052369233748
1425255352,1425255366,42.01369314990852
1425255352,1425255348,45.52286754206056
1425255352,1425255367,68.06005802340155
1425255353,1425255345,65.26507624710742
1425255359,1425255366,47.6757999514884
1425255359,1425255350,35.27519863916048
1425255359,6324707874,165.08596374007314
1425255366,1425255352,42.01369314990852
1425255366,1425255389,45.030343927173426
1425255366,3869425718,80.84311646007704
1425255366,1425255359,47.6757999514884
1425255367,1425255352,68.06005802340155
1425255368,1425255350,75.58367134966109
1425255389,1425255366,45.030343927173426
1425255389,1425255398,44.28763946612022
1425255389,1425255400,68.47901258391734
1425255393,1425481299,22.76924226018319
1425255393,3869425718,6.638505979505295
1425255398,1425255389,44.28763946612022
1425255398,6324707874,29.654969913694806
1425255398,1425255404,66.84941261426764
