node_id,longitude,latitude
813348627,76.8118234,30.6901156
1424618735,76.746815,30.6905433
1424618878,76.7402811,30.6925004
1424618908,76.7372592,30.6928667
1424618933,76.737483,30.6933926
1424618942,76.7384107,30.6934867
1424618946,76.7376738,30.6935148
1424618948,76.7383537,30.6935518
1424618958,76.7381386,30.6938125
1424618961,76.7389925,30.693862
1424618962,76.7372822,30.6939703
1424618965,76.7379999,30.6939754
1424618968,76.7392532,30.6940302
1424618973,76.7384673,30.6942876
1424618987,76.7381115,30.6946969
1424618999,76.7393835,30.6954972
1424619001,76.7395666,30.6956124
1424619003,76.7386551,30.6956279
1424619004,76.737942,30.6956537
1424619011,76.7390858,30.6958951
1424619013,76.7383922,30.6959486
1424619014,76.7396594,30.696013
1424619019,76.7379302,30.6963304
1424619024,76.738034,30.6963892
1424619033,76.7384939,30.6966495
1424619039,76.7390486,30.6967463
1424619041,76.7386302,30.6967267
1424619042,76.7377589,30.6968487
1424619045,76.7389242,30.6968931
1424619049,76.7394777,30.6969825
1424619055,76.7382817,30.6971531
1424619060,76.7398323,30.6971986
1424619124,76.7376886,30.6973137
1424619128,76.7392052,30.6973181
1424619130,76.7379854,30.6974979
1424619131,76.7389824,30.6975831
1424619134,76.7399008,30.6977122
1424619136,76.7387478,30.6978779
1424619139,76.737516,30.6980416
1424619140,76.7380886,30.6979439
1424619143,76.7396733,30.698001
1424619145,76.7392496,30.6981793
1424619147,76.7384744,30.6981893
1424619158,76.7392471,30.6986362
1425255313,76.7322661,30.7066952
1425255318,76.732206,30.7067671
1425255326,76.7320126,30.7069984
1425255329,76.7328138,30.7070337
1425255338,76.7317567,30.7073044
1425255339,76.7325938,30.7073576
1425255341,76.7304597,30.707459
1425255345,76.7314994,30.7076121
1425255347,76.7323274,30.7076571
1425255348,76.730843,30.7076959
1425255350,76.7302732,30.7078008
1425255352,76.7312296,30.7079349
1425255353,76.7320537,30.7079547
1425255359,76.730571,30.7079881
1425255366,76.7309731,30.7082417
1425255367,76.7318077,30.7082921
1425255368,76.729797,30.7083434
1425255389,76.7307014,30.7085725
1425255393,76.7317113,30.7087066
1425255398,76.7304278,30.7088939
1425255400,76.731274,30.7089425
1425255403,76.7301759,30.7091926
1425255404,76.731004,30.7092345
1425255409,76.729913,30.709511
1425255410,76.7307529,30.7095471
1425255413,76.7297643,30.7096875
1425255414,76.7296593,30.7098105
1425255416,76.730459,30.7098608
1425255422,76.7302126,30.71016
1425255424,76.7294834,30.7102632
1425386435,76.7512762,30.6851918
1425480495,76.7566433,30.6856151
1425480497,76.7546241,30.6857637
1425480500,76.7614795,30.6861031
1425480502,76.7558901,30.6865526
1425480503,76.7537945,30.6867744
1425480505,76.758671,30.6868899
1425480513,76.7601086,30.6877954
1425480516,76.7579411,30.6878281
1425480527,76.7651018,30.6883634
1425480530,76.7615304,30.6886966
1425480550,76.7665234,30.6892692
1425480551,76.766638,30.6891533
1425480557,76.758386,30.6896065
1425480570,76.7641033,30.6895918
1425480578,76.7614812,30.6898244
1425480583,76.7580119,30.6900477
1425480589,76.7565349,30.6903089
1425480597,76.7610356,30.6903916
1425480605,76.7521341,30.6903934
1425480613,76.7525327,30.6906396
1425480619,76.7574191,30.6907442
1425480621,76.7507956,30.6907463
1425480624,76.7630833,30.6908313
1425480627,76.7575398,30.6908181
1425480628,76.7530923,30.6909855
1425480636,76.7530113,30.6910781
1425480642,76.7546748,30.6911986
1425480645,76.7514964,30.6911398
1425480651,76.7624999,30.6912972
1425480660,76.7556417,30.6912882
1425480662,76.7554564,30.6913193
1425480674,76.7556961,30.6913338
1425480681,76.7626188,30.6913626
1425480683,76.7554245,30.6913918
1425480689,76.7519367,30.6914079
1425480694,76.7602032,30.6914039
1425480697,76.7570732,30.6914401
1425480700,76.7554379,30.6914508
1425480710,76.7601576,30.691457
1425480713,76.7557093,30.6914366
1425480719,76.7555457,30.6915216
1425480721,76.7556452,30.6915057
1425480730,76.7587119,30.6915238
1425480744,76.7524731,30.6917469
1425480747,76.7541969,30.691803
1425480750,76.7566666,30.6919397
1425480757,76.7582302,30.6921486
1425480767,76.7616275,30.6923726
1425480768,76.7494492,30.692332
1425480769,76.753633,30.6924833
1425480777,76.754236,30.6928537
1425480797,76.7605953,30.693615
1425480800,76.74895,30.6938745
1425480802,76.7559108,30.6938426
1425480813,76.7601624,30.6941436
1425480821,76.7599325,30.6941972
1425480877,76.7518991,30.6956656
1425480887,76.7424946,30.6958217
1425480892,76.7558333,30.6959815
1425480948,76.7531793,30.6964767
1425480959,76.7437924,30.6967628
1425480979,76.7573346,30.6968975
1425480996,76.7549191,30.6970749
1425481000,76.7575921,30.6970526
1425481006,76.7541347,30.6970474
1425481019,76.7524951,30.6973849
1425481021,76.7551941,30.6972161
1425481034,76.7536868,30.6976454
1425481036,76.7534299,30.6979591
1425481037,76.7520058,30.69793
1425481038,76.752915,30.6985758
1425481040,76.7557,30.6988868
1425481041,76.749602,30.6989612
1425481090,76.755911,30.7006048
1425481105,76.7477751,30.7017672
1425481106,76.747452,30.7018528
1425481110,76.7477947,30.7020976
1425481115,76.7513725,30.7024315
1425481126,76.7455809,30.7033249
1425481131,76.7404646,30.7033926
1425481149,76.7441984,30.7049037
1425481189,76.7427305,30.7067764
1425481199,76.7424313,30.7071641
1425481206,76.7433017,30.7071397
1425481213,76.7423214,30.7073391
1425481214,76.7436803,30.7073804
1425481224,76.7429773,30.7075151
1425481226,76.7428371,30.7076793
1425481228,76.7433567,30.7077558
1425481230,76.7419521,30.7076478
1425481235,76.7442651,30.7077523
1425481240,76.7432362,30.7079
1425481242,76.742361,30.7078908
1425481252,76.7446702,30.70801
1425481254,76.7439433,30.7081349
1425481256,76.7425516,30.7080085
1425481268,76.7438232,30.7082838
1425481276,76.7420368,30.7082833
1425481279,76.744363,30.70838
1425481280,76.7429351,30.7082457
1425481288,76.7452351,30.7083692
1425481290,76.7432216,30.7084228
1425481295,76.7441938,30.7085837
1425481299,76.7318473,30.7085385
1425481305,76.7425412,30.7085986
1425481307,76.7435238,30.7086365
1425481308,76.7449419,30.7087472
1425481309,76.7457286,30.708683
1425481311,76.7428983,30.7088228
1425481312,76.7447712,30.7089453
1425481313,76.7439127,30.7089169
1425481323,76.7417913,30.7094665
1425481324,76.7407222,30.7090723
1425481325,76.7440885,30.7090296
1425481328,76.7454575,30.7090173
1425481330,76.7315911,30.7090225
1425481339,76.7434055,30.7091405
1425481349,76.7452541,30.7092472
1425481350,76.7426009,30.709163
1425481356,76.7466837,30.7092904
1425481358,76.7451545,30.7093525
1425481361,76.7437913,30.709382
1425481379,76.7431085,30.7094779
1425481380,76.7454931,30.70956
1425481385,76.7464002,30.7096398
1425481388,76.7442781,30.709687
1425481390,76.7434481,30.7097889
1425481402,76.7458708,30.7097915
1425481403,76.7446953,30.7099482
1425481404,76.7461327,30.709952
1425481407,76.7439042,30.7100828
1425481412,76.7450204,30.7101518
1425481415,76.7323872,30.7102302
1425481419,76.7337426,30.7103753
1425481428,76.745406,30.7103933
1425481433,76.7440581,30.7106734
1425481436,76.7456419,30.710541
1425481440,76.7328656,30.710527
1425481443,76.7342374,30.7106699
1425481445,76.7319996,30.7106918
1425481446,76.7445851,30.7107505
1425481460,76.7311311,30.7108365
1425481463,76.7333587,30.710833
1425481465,76.7449789,30.7109719
1425481469,76.7324781,30.7109887
1425481599,76.7316223,30.7111413
1425481600,76.7338464,30.7111356
1425481602,76.7329712,30.7112946
1425481603,76.7307418,30.7113001
1425481605,76.7340402,30.7112558
1425481607,76.7321008,30.7114382
1425481629,76.7334589,30.7115973
1425481632,76.7312331,30.711605
1425481637,76.7464545,30.7116847
1425481648,76.7336519,30.7117171
1425481656,76.7325939,30.7117441
1425481675,76.7459046,30.7118462
1425481678,76.7458107,30.7118491
1425481682,76.7317116,30.7119018
1425481697,76.7330816,30.7120468
1425481702,76.7308338,30.7120807
1425481703,76.7462834,30.7120744
1425481706,76.733274,30.7121662
1425481708,76.7322046,30.7122078
1425481709,76.7454331,30.7121641
1425481710,76.7463145,30.7122984
1425481712,76.7313122,30.7123775
1425481715,76.7454867,30.7124227
1425481719,76.7326938,30.7125009
1425481721,76.7460933,30.7125655
1425481725,76.7459353,30.7126112
1425481727,76.7328916,30.7126156
1425481730,76.7318053,30.7126835
1425481733,76.7452123,30.7130065
1425481737,76.7322734,30.7129938
1425481746,76.7449919,30.7132388
1425481749,76.7329849,30.713444
1425481758,76.7447975,30.7140967
1425481769,76.7430671,30.7155817
1425481809,76.7416355,30.7179475
1425481815,76.7389761,30.7179934
1425481822,76.74122,30.7180623
1425481833,76.7409602,30.7183982
1425481839,76.7397943,30.7185887
1425481841,76.7405031,30.7186299
1425481844,76.7403253,30.7186412
1425481850,76.7407605,30.7188039
1425481852,76.7400888,30.7189024
1425481853,76.740791,30.7189245
1425481854,76.7401114,30.7190365
1425481861,76.7405441,30.7192158
1425481864,76.7404113,30.7192286
1425481867,76.7399755,30.719385
1425481869,76.7400951,30.7194466
1425544624,76.7308877,30.7129291
1425545701,76.7331655,30.726859
1425545725,76.7338311,30.7270645
1425545745,76.7336095,30.727086
1425545752,76.7340892,30.7272387
1425545768,76.7334176,30.7273377
1425545770,76.7341197,30.7273597
1425545775,76.7334404,30.7274713
1425545819,76.7334388,30.7279105
1425545845,76.7313869,30.7304487
1425545870,76.7309845,30.7306447
1425545884,76.7307512,30.7309063
1425545887,76.7307745,30.7310388
1425545894,76.7312023,30.7312165
1425545898,76.7310709,30.7312286
1425545907,76.7307124,30.7315821
1425700144,76.7263961,30.7303203
1425700172,76.7209465,30.7306459
1425700186,76.7221613,30.7307373
1425700196,76.7214565,30.7308207
1425700203,76.7207204,30.7308461
1425700205,76.720801,30.730836
1425700219,76.7314459,30.7309762
1425700243,76.7217995,30.7311627
1425700268,76.7210881,30.7312877
1425700272,76.7220438,30.7313246
1425700283,76.722217,30.7314133
1425700287,76.7209195,30.7314612
1425700288,76.7215831,30.7314136
1425700309,76.7207357,30.7316584
1425700311,76.7213419,30.7317254
1425700327,76.7213002,30.7317834
1425700332,76.7205273,30.7319208
1425700336,76.7211812,30.7319149
1425700337,76.7215402,30.7319255
1425700342,76.7211145,30.7319968
1425700350,76.7202031,30.7320826
1425700354,76.7218127,30.7320961
1425700355,76.7203279,30.7321549
1425700358,76.7209458,30.7321818
1425700359,76.7214077,30.7321896
1425700360,76.7256513,30.7321944
1425700364,76.7204344,30.7322395
1425700373,76.7208018,30.7323355
1425700377,76.7216393,30.7323247
1425700383,76.7207361,30.7324121
1425700388,76.7211057,30.7325186
1425700394,76.7206205,30.732565
1425700399,76.7213608,30.7326728
1425700402,76.7208762,30.7327283
1425700408,76.721172,30.7328934
1425700423,76.7214252,30.7330342
1425700453,76.7205813,30.7339576
1425700458,76.7211208,30.7338812
1425700466,76.717578,30.7341345
1425700471,76.7209583,30.7342832
1425700478,76.7212378,30.7344589
1425700484,76.7215214,30.7346372
1425700485,76.7200089,30.7346124
1425700494,76.7202058,30.7347472
1425700496,76.7223384,30.7347853
1425700497,76.721845,30.7348416
1425700513,76.7187995,30.7349128
1425700539,76.7226265,30.7349985
1425700543,76.7221297,30.7350208
1425700555,76.720635,30.7349941
1425700563,76.7199493,30.7350664
1425700564,76.7207508,30.7350554
1425700575,76.7224374,30.7352155
1425700580,76.7235269,30.735274
1425700581,76.7210702,30.7352311
1425700587,76.7185066,30.7352676
1425700595,76.7204402,30.7353709
1425700598,76.7213184,30.7354636
1425700602,76.7196219,30.7354265
1425700624,76.7182339,30.7356049
1425700638,76.7200125,30.7356912
1425700643,76.7201406,30.7357692
1425700656,76.7197161,30.7360325
1425700661,76.7207542,30.7361106
1425700667,76.7210295,30.7362868
1425700671,76.7194392,30.7363541
1425700673,76.718023,30.7363646
1425700675,76.7213483,30.7364877
1425700681,76.7178344,30.7365759
1425700696,76.7191729,30.7366713
1425700706,76.7266868,30.7368042
1425700707,76.7265436,30.7368105
1425700719,76.7175424,30.736893
1425700721,76.7268977,30.7369053
1425700724,76.7160203,30.736963
1425700725,76.7220706,30.7369687
1425700731,76.7197253,30.7370285
1425700732,76.7262833,30.7370751
1425700735,76.7163369,30.7371637
1425700738,76.7172678,30.737224
1425700742,76.7263275,30.7372506
1425700752,76.7265952,30.7374018
1425700756,76.7160184,30.7375384
1425700761,76.716971,30.737564
1425700762,76.7195355,30.7376625
1425700764,76.7154265,30.7376629
1425700765,76.7171528,30.7376841
1425700771,76.715747,30.7378626
1425700779,76.7168416,30.7380534
1425700780,76.7154518,30.7382049
1425700782,76.7162865,30.7382015
1425700785,76.7189074,30.7382267
1425700788,76.7165847,30.7383909
1425700789,76.7158699,30.7384478
1425700790,76.7193974,30.7385245
1425700794,76.7146332,30.7386003
1425700795,76.7185973,30.7385847
1425700799,76.7163112,30.7387062
1425700804,76.7219986,30.7389358
1425700805,76.7182774,30.7389579
1425700807,76.7159892,30.7390796
1425700808,76.7187222,30.7392429
1425700809,76.7180118,30.7392626
1425700812,76.7177354,30.739639
1425700813,76.71869,30.7396967
1425700824,76.718293,30.7404439
1425700853,76.7221635,30.7430839
1425700860,76.722009,30.743113
1425700867,76.7224814,30.7432588
1425700868,76.7225111,30.7434365
1425700869,76.7218089,30.7433455
1425700874,76.7224094,30.7436066
1425716595,76.7269817,30.7371325
1425716596,76.726818,30.7373581
1425716605,76.7314968,30.7400854
1425716606,76.7314417,30.7401477
1425716607,76.7301551,30.7416435
1425716612,76.7380205,30.7438642
1425716619,76.7377574,30.7439099
1425716622,76.7382342,30.7439816
1425716630,76.737615,30.7440842
1425716641,76.7382882,30.7442383
1425716644,76.7376521,30.7443092
1425716650,76.7278321,30.7444034
1425716653,76.7381367,30.7444121
1425716660,76.7379307,30.7444567
1425716663,76.7341316,30.7444616
1425716665,76.737515,30.744709
1425716675,76.7331828,30.7456697
1425716680,76.7264388,30.7460757
1425716717,76.7357323,30.7472354
1425716720,76.7357739,30.74739
1425716747,76.733505,30.7505059
1426200719,76.7328404,30.7324781
1426200738,76.7332677,30.7327521
1426200739,76.7316628,30.7327971
